strain,virus,isolate_id,date,region,country,division,host
A/Guineafowl/WA/24-030328-001-original/2024,avian_flu,A/Guineafowl/WA/24-030328-001-original/2024,10/15/2024,North America,United States,Washington,Numididae sp.
A/Guineafowl/WA/24-030328-002-original/2024,avian_flu,A/Guineafowl/WA/24-030328-002-original/2024,10/15/2024,North America,United States,Washington,Numididae sp.
A/chicken/OR/24-030904-001-original/2024,avian_flu,A/chicken/OR/24-030904-001-original/2024,10/21/2024,North America,United States,Oregon,Gallus gallus
A/chicken/OR/24-030904-002-original/2024,avian_flu,A/chicken/OR/24-030904-002-original/2024,10/21/2024,North America,United States,Oregon,Gallus gallus
A/Washington/239/2024,avian_flu,A/Washington/239/2024,10/18/2024,North America,United States,Washington,Homo sapiens
A/Washington/240/2024,avian_flu,A/Washington/240/2024,10/18/2024,North America,United States,Washington,Homo sapiens
A/Washington/251/2024,avian_flu,A/Washington/251/2024,10/24/2024,North America,United States,Oregon,Homo sapiens
A/Washington/252/2024,avian_flu,A/Washington/252/2024,10/24/2024,North America,United States,Oregon,Homo sapiens
A/Washington/253/2024,avian_flu,A/Washington/253/2024,10/24/2024,North America,United States,Oregon,Homo sapiens
A/Washington/254/2024,avian_flu,A/Washington/254/2024,10/23/2024,North America,United States,Washington,Homo sapiens
A/Washington/255/2024,avian_flu,A/Washington/255/2024,10/29/2024,North America,United States,Washington,Homo sapiens
A/Washington/UW32495/2024,avian_flu,A/Washington/UW32495/2024,10/18/2024,North America,United States,Washington,Homo sapiens
A/chicken/Washington/W242850087-1/2024,avian_flu,A/chicken/Washington/W242850087-1/2024,10/11/2024,North America,United States,Washington,Gallus gallus
A/chicken/Washington/W242850087-2/2024,avian_flu,A/chicken/Washington/W242850087-2/2024,10/11/2024,North America,United States,Washington,Gallus gallus
A/chicken/WA/24-030039-001/2024,avian_flu,A/chicken/WA/24-030039-001/2024,10/11/2024,North America,United States,Washington,Gallus gallus
A/chicken/WA/24-030039-002/2024,avian_flu,A/chicken/WA/24-030039-002/2024,10/11/2024,North America,United States,Washington,Gallus gallus
A/chicken/OR/24-035148-001-original/2024,avian_flu,A/chicken/OR/24-035148-001-original/2024,11/18/2024,North America,United States,Oregon,Gallus gallus
A/chicken/OR/24-035148-002-original/2024,avian_flu,A/chicken/OR/24-035148-002-original/2024,11/18/2024,North America,United States,Oregon,Gallus gallus
A/chicken/OR/24-037945-001-original/2024,avian_flu,A/chicken/OR/24-037945-001-original/2024,12/10/2024,North America,United States,Oregon,Gallus gallus
A/chicken/OR/24-037945-002-original/2024,avian_flu,A/chicken/OR/24-037945-002-original/2024,12/10/2024,North America,United States,Oregon,Gallus gallus
A/chicken/WA/24-031352-001-original/2024,avian_flu,A/chicken/WA/24-031352-001-original/2024,10/21/2024,North America,United States,Washington,Gallus gallus
