strain	filter	kwargs
W250220054-6_2025	filter_by_sequence_index	[]
W250220054-1_2025	filter_by_sequence_index	[]
W250220054-7_2025	filter_by_sequence_index	[]
A/chicken/Washington/W242850087-2/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
W250220054-6_2025	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/chicken/Washington/24-030039-001/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/chicken/Washington/24-031352-001/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/Washington/255/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/chicken/Washington/W242850087-1/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/Washington/254/2024-egg	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/Red_Tailed_Hawk/BC/AIVPHL-2513/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/Washington/UW32495/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/Louisiana/12/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
W250220054-7_2025	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
W250220054-1_2025	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/chicken/Washington/24-030039-002/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/chicken/Iwate/22A5T/2023	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/chicken/Oregon/24-030904-002/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/Canada_Goose/BC/AIVPHL-2524/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/chicken/Washington/24-031352-003/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/guineafowl/Washington/24-030328-002/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/Canada_Goose/BC/AIVPHL-2531/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/guineafowl/Washington/24-030328-001/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/chicken/Washington/24-031352-002/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/Canada_Goose/BC/AIVPHL-2530/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
A/chicken/Oregon/24-030904-001/2024	force_include_strains	"[[""include_file"", ""outbreak_files_franklin/include_strains_outbreak.txt""]]"
