strain	filter	kwargs
A/chicken/WA/24-030039-001/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Washington/UW32495/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/OR/24-035148-001-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/OR/24-037945-001-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Washington/255/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/Washington/W242850087-2/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Guineafowl/WA/24-030328-002-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Duck/OR/24-037944-001-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/OR/24-030904-001-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/OR/24-037945-002-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/junglecrow/Iwate/0304I001/2022	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/pig/OR/24-031264-004-combined/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Washington/239/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/WA/24-031352-001-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/goose/OR/24-031478-002-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Peafowl/OR/24-031478-001-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/WA/24-031352-003-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/goose/WA/24-033829-001-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/WA/24-034062-001-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/WA/24-030039-002/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/WA/24-031352-002-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Washington/251/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/OR/24-030904-002-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Guineafowl/WA/24-030328-001-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/Washington/W242850087-1/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Washington/253/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Washington/254/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Washington/252/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/chicken/OR/24-035148-002-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Duck/OR/24-031478-003-original/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
A/Washington/240/2024	force_include_strains	"[[""include_file"", ""outbreak_files_OR_WA/include_strains.txt""]]"
