strain	filter	kwargs
A/Caspian_tern/Washington/W232270041-1/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Caspian_tern/Washington/W232270041-5/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Glaucous-winged_gull/Washington/W232270041-2/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Harbor_seal/Washington/W232510072-3-1/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Glaucous-winged_gull/Washington/W232270041-4/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Caspian_tern/Washington/W232140074-2/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Harbor_seal/Washington/W232430067-2-3/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Caspian_tern/Washington/W232140074-1/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/harbor_seal/Washington/23-025744-001/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Caspian_tern/Oregon/23-018836-001/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Caspian_tern/Oregon/23-018836-003/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Caspian_tern/Washington/W231930045-3/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Caspian_tern/Washington/23-021119-003/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Caspian_tern/Oregon/23-018836-002/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Harbor_seal/Washington/W232490069-3/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Harbor_seal/Washington/W232430067-1-3/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/Glaucous-winged_gull/Washington/W231990001-1/2023	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
A/chicken/Oklahoma/USDA-013220-001/2022	force_include_strains	"[[""include_file"", ""outbreak_files/include_strains_outbreak.txt""]]"
