Biosample Accessions,Assembly Accessions
SAMN46706118,No assembly found
SAMN46923555,No assembly found
SAMN46923551,No assembly found
SAMN46200751,GCA_047940655.1
SAMN46069846,GCA_047523405.1
SAMN46069826,GCA_047523545.1
SAMN45148617,No assembly found
SAMN46922971,No assembly found
SAMN46369450,GCA_047942945.1
SAMN46069822,GCA_047523495.1
SAMN46069824,GCA_047523295.1
SAMN46133622,GCA_046893875.1
SAMN44493027,GCA_046436295.1
SAMN44493028,GCA_046435665.1
SAMN47131055,No assembly found
SAMN46923650,No assembly found
SAMN46923519,No assembly found
SAMN45148607,No assembly found
SAMN47130973,No assembly found
SAMN45128756,GCA_046437865.1
SAMN45128755,GCA_046438975.1
SAMN46706145,No assembly found
SAMN47131032,No assembly found
SAMN45952789,GCA_047504565.1
SAMN44727527,GCA_046435935.1
SAMN44727526,GCA_046436735.1
SAMN44727529,GCA_046435955.1
SAMN44727528,GCA_046436755.1
SAMN44727532,GCA_046438445.1
SAMN44727534,GCA_046438475.1
SAMN44727533,GCA_046437205.1
SAMN44727535,GCA_046437285.1
