BioSample,Accession,Collection_Date,Host,Submitters
SAMN46200751,PV161627.1,2024-12-03,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46200751,PV161626.1,2024-12-03,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46200751,PV161625.1,2024-12-03,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46200751,PV161624.1,2024-12-03,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46200751,PV161623.1,2024-12-03,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46200751,PV161622.1,2024-12-03,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46200751,PV161621.1,2024-12-03,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46200751,PV161620.1,2024-12-03,Gallus gallus,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46069846,PV070753.1,2024-12-13,Numididae sp.,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46069846,PV070752.1,2024-12-13,Numididae sp.,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46069846,PV070751.1,2024-12-13,Numididae sp.,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46069846,PV070750.1,2024-12-13,Numididae sp.,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
SAMN46069846,PV070749.1,2024-12-13,Numididae sp.,"Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S."
