strain	userOrOld	date	country	location	host	bioproject_accession	biosample_accession	sra_accession	authors	publications	mouse_escape	ferret_escape	cell_entry	stability	sa26_increase	mouse_escape_mutations	ferret_escape_mutations	cell_entry_mutations	stability_mutations	sa26_increase_mutations	mutdiffsel	mutdiffsel_mutations	accession
A/Red-tailed-hawk/USA/25-001322-001/2025|SRR32254446|2025	INSDC (GenBank/ENA/DDBJ) and SRA	2025	USA	USA	Red-tailed-hawk	PRJNA1207547	SAMN46706118	SRR32254446	USDA-NVSL		0.10	0.03	0.34	-0.27	1.37	491D [0.1033]	341R [0.03437]	11F [-0.3], 52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	11F [-0.03306], 120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/Canada-goose/USA/25-002921-003/2025|SRR32416358|2025	INSDC (GenBank/ENA/DDBJ) and SRA	2025	USA	USA	Canada-goose	PRJNA1207547	SAMN46923555	SRR32416358	USDA-NVSL		0.10	0.03	0.34	-0.27	1.37	491D [0.1033]	341R [0.03437]	11F [-0.3], 52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	11F [-0.03306], 120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/Canada-goose/USA/25-002920-001/2025|SRR32416362|2025	INSDC (GenBank/ENA/DDBJ) and SRA	2025	USA	USA	Canada-goose	PRJNA1207547	SAMN46923551	SRR32416362	USDA-NVSL		0.10	0.03	0.34	-0.27	1.37	491D [0.1033]	341R [0.03437]	11F [-0.3], 52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	11F [-0.03306], 120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]	0.66	70K [0.4485], 524I [0.20743]	
A/chicken/CA/24-038654-003-original/2024_H5N1|2024-12-03	INSDC (GenBank/ENA/DDBJ) and SRA	2024-12-03	USA	CA	Gallus gallus	PRJNA980729	SAMN46200751	SRR31959943	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]	0.15	563R [0.15273]	
A/Guineafowl/AL/24-037980-001-original/2024_H5N1|2024-12-13	INSDC (GenBank/ENA/DDBJ) and SRA	2024-12-13	USA	AL	Numididae sp.	PRJNA980729	SAMN46069846	SRR31885765	Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	-0.63	-0.25	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244], 539V [-1.276]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979], 539V [-0.01895]	226V [1.101], 491D [0.2725]	1.21	2D [0.98552], 62Q [0.22017]	
A/chicken/MO/24-037561-001-original/2024_H5N1|2024-12-14	INSDC (GenBank/ENA/DDBJ) and SRA	2024-12-14	USA	MO	Gallus gallus	PRJNA980729	SAMN46069826	SRR31885787	Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]	0.99	2D [0.98552]	
A/Chicken/USA/24-033434-010/2024|SRR31596915|2024	INSDC (GenBank/ENA/DDBJ) and SRA	2024	USA	USA	Chicken	PRJNA980729	SAMN45148617	SRR31596915	USDA-NVSL		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/Cattle/USA/25-004046-001/2025|SRR32415931|2025	INSDC (GenBank/ENA/DDBJ) and SRA	2025	USA	USA	Cattle	PRJNA1219588	SAMN46922971	SRR32415931	USDA-NVSL		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]	0.04	379K [0.04316]	
A/chicken/SD/25-000692-001-original/2025_H5N1|2025-01-06	INSDC (GenBank/ENA/DDBJ) and SRA	2025-01-06	USA	SD	Gallus gallus	PRJNA980729	SAMN46369450	SRR32125540	Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]			
A/Turkey/SD/24-037530-001-original/2024_H5N1|2024-12-13	INSDC (GenBank/ENA/DDBJ) and SRA	2024-12-13	USA	SD	Meleagris gallopavo	PRJNA980729	SAMN46069822	SRR31885791	Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.		0.10	0.03	0.64	-0.23	1.37	491D [0.1033]	341R [0.03437]	52A [-0.9735], 120L [0.2686], 226V [0.0288], 341R [0.7259], 491D [0.06727], 526I [0.5244]	120L [-0.1698], 226V [0.07241], 341R [-0.0673], 491D [-0.06979]	226V [1.101], 491D [0.2725]	0.59	249G [0.59359]	
