Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
PV213988.1,Influenza A virus,GenBank,,SRR32006059,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PV213989.1,Influenza A virus,GenBank,,SRR32006059,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV213990.1,Influenza A virus,GenBank,,SRR32006059,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PV213991.1,Influenza A virus,GenBank,,SRR32006059,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PV213992.1,Influenza A virus,GenBank,,SRR32006059,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PV213993.1,Influenza A virus,GenBank,,SRR32006059,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PV213994.1,Influenza A virus,GenBank,,SRR32006059,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PV213995.1,Influenza A virus,GenBank,,SRR32006059,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PV213996.1,Influenza A virus,GenBank,,SRR32006058,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PV213997.1,Influenza A virus,GenBank,,SRR32006058,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV213998.1,Influenza A virus,GenBank,,SRR32006058,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PV213999.1,Influenza A virus,GenBank,,SRR32006058,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
